date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-02,000338,13.38,13.63,13.66,13.34,672792,909746383.61,2.38,1.56,0.21,1.35
2024-12-03,000338,13.6,13.54,13.63,13.45,553504,748162031.9,1.32,-0.66,-0.09,1.11
2024-12-04,000338,13.5,13.58,13.72,13.45,719261,979285444.11,1.99,0.3,0.04,1.45
2024-12-05,000338,13.52,13.49,13.59,13.41,446149,601658601.63,1.33,-0.66,-0.09,0.9
2024-12-06,000338,13.47,13.6,13.69,13.46,584895,795283888.94,1.7,0.82,0.11,1.18
2024-12-09,000338,13.61,13.57,13.72,13.51,460389,626673436.84,1.54,-0.22,-0.03,0.93
2024-12-10,000338,13.88,13.58,13.95,13.55,894404,1228750295.42,2.95,0.07,0.01,1.8
2024-12-11,000338,13.58,13.66,13.69,13.54,456796,623235303.11,1.1,0.59,0.08,0.92
2024-12-12,000338,13.66,13.79,13.8,13.62,597738,820226950.01,1.32,0.95,0.13,1.2
2024-12-13,000338,13.73,13.42,13.74,13.42,838724,1133545110.82,2.32,-2.68,-0.37,1.69
2024-12-16,000338,13.42,13.17,13.48,13.12,688047,912741136.9,2.68,-1.86,-0.25,1.38
2024-12-17,000338,13.17,13.24,13.43,13.16,672373,894171093.52,2.05,0.53,0.07,1.35
2024-12-18,000338,13.31,13.26,13.42,13.22,452904,602301305.79,1.51,0.15,0.02,0.91
2024-12-19,000338,13.17,13.25,13.29,13.12,424637,561922039.8,1.28,-0.08,-0.01,0.85
2024-12-20,000338,13.25,13.25,13.28,13.07,446842,589561237.83,1.58,0.0,0.0,0.9
2024-12-23,000338,13.31,13.78,14.08,13.31,2126046,2935190549.01,5.81,4.0,0.53,4.28
2024-12-24,000338,13.68,13.77,14.02,13.62,1232314,1695942850.28,2.9,-0.07,-0.01,2.48
2024-12-25,000338,13.77,14.0,14.1,13.77,1521600,2128127360.98,2.4,1.67,0.23,3.06
2024-12-26,000338,13.96,13.91,13.99,13.81,774226,1076985728.71,1.29,-0.64,-0.09,1.56
2024-12-27,000338,14.15,13.88,14.15,13.7,992776,1374578818.59,3.24,-0.22,-0.03,2.0
2024-12-30,000338,13.82,13.9,14.05,13.8,733647,1023581743.85,1.8,0.14,0.02,1.47
2024-12-31,000338,13.92,13.7,14.05,13.68,873592,1210662648.2,2.66,-1.44,-0.2,1.76
2025-01-02,000338,13.72,13.52,13.83,13.45,1008267,1375335222.88,2.77,-1.31,-0.18,2.03
2025-01-03,000338,13.54,13.51,13.97,13.5,1203463,1651963129.39,3.48,-0.07,-0.01,2.42
2025-01-06,000338,13.56,13.7,13.84,13.53,825414,1129357275.91,2.29,1.41,0.19,1.66
2025-01-07,000338,13.64,13.74,13.84,13.46,775276,1059341946.85,2.77,0.29,0.04,1.56
2025-01-08,000338,13.62,14.71,14.98,13.61,3345383,4789896054.44,9.97,7.06,0.97,6.72
2025-01-09,000338,14.67,14.64,14.76,14.4,1675942,2446962193.34,2.45,-0.48,-0.07,3.37
2025-01-10,000338,14.6,14.1,14.67,14.08,1542165,2195929547.79,4.03,-3.69,-0.54,3.1
2025-01-13,000338,13.9,13.9,14.23,13.8,1000211,1398922917.65,3.05,-1.42,-0.2,2.01
2025-01-14,000338,14.0,14.57,14.63,14.0,1386014,1997621638.23,4.53,4.82,0.67,2.79
2025-01-15,000338,14.5,14.53,14.75,14.46,824968,1203609524.1,1.99,-0.27,-0.04,1.66
2025-01-16,000338,14.63,14.56,14.78,14.53,842027,1231718063.51,1.72,0.21,0.03,1.69
2025-01-17,000338,14.5,14.52,14.6,14.4,579280,840108405.16,1.37,-0.27,-0.04,1.16
2025-01-20,000338,14.62,14.54,14.75,14.47,865677,1261291062.04,1.93,0.14,0.02,1.74
2025-01-21,000338,14.61,14.54,14.71,14.45,745525,1085638985.6,1.79,0.0,0.0,1.5
2025-01-22,000338,14.4,14.39,14.58,14.28,573282,824752809.75,2.06,-1.03,-0.15,1.15
2025-01-23,000338,14.5,14.19,14.55,14.17,764569,1096462154.75,2.64,-1.39,-0.2,1.54
2025-01-24,000338,14.16,14.33,14.41,14.05,711233,1016736908.62,2.54,0.99,0.14,1.43
2025-01-27,000338,14.35,14.4,14.57,14.25,764132,1102833013.64,2.23,0.49,0.07,1.54
2025-02-05,000338,14.47,13.97,14.5,13.96,847093,1192605443.0,3.75,-2.99,-0.43,1.7
2025-02-06,000338,13.98,14.02,14.03,13.72,868852,1206403274.4,2.22,0.36,0.05,1.75
2025-02-07,000338,13.97,14.11,14.14,13.81,1012707,1419090257.05,2.35,0.64,0.09,2.04
2025-02-10,000338,14.12,14.09,14.26,14.0,809031,1141855500.2,1.84,-0.14,-0.02,1.63
2025-02-11,000338,14.12,14.4,14.78,14.02,1490065,2150438566.38,5.39,2.2,0.31,2.99
2025-02-12,000338,14.32,14.78,14.78,14.23,1465691,2142791218.15,3.82,2.64,0.38,2.95
2025-02-13,000338,14.76,14.63,14.92,14.56,953041,1401235069.33,2.44,-1.01,-0.15,1.92
2025-02-14,000338,14.63,14.75,14.88,14.55,864710,1273246162.48,2.26,0.82,0.12,1.74
2025-02-17,000338,14.83,14.72,14.85,14.52,760553,1115032620.82,2.24,-0.2,-0.03,1.53
2025-02-18,000338,14.72,14.58,15.05,14.51,1128467,1672253955.11,3.67,-0.95,-0.14,2.27
2025-02-19,000338,14.53,14.76,14.79,14.5,832471,1221609182.66,1.99,1.23,0.18,1.67
2025-02-20,000338,14.76,14.77,14.85,14.55,744727,1094915379.97,2.03,0.07,0.01,1.5
2025-02-21,000338,15.0,15.73,15.88,15.0,2620656,4077780419.4,5.96,6.5,0.96,5.27
2025-02-24,000338,15.68,15.39,15.69,15.29,1234066,1903829468.78,2.54,-2.16,-0.34,2.48
2025-02-25,000338,15.28,15.6,15.94,15.2,1386408,2168069363.12,4.81,1.36,0.21,2.79
2025-02-26,000338,15.63,15.78,15.91,15.61,1023600,1613976858.04,1.92,1.15,0.18,2.06
2025-02-27,000338,15.75,16.04,16.08,15.68,1185327,1892718002.24,2.53,1.65,0.26,2.38
2025-02-28,000338,16.0,15.69,16.08,15.68,930639,1473820362.92,2.49,-2.18,-0.35,1.87
2025-03-03,000338,15.76,15.82,16.31,15.71,1036197,1662388649.85,3.82,0.83,0.13,2.08
2025-03-04,000338,15.63,15.92,16.0,15.55,637887,1011572486.72,2.84,0.63,0.1,1.28
2025-03-05,000338,16.15,16.08,16.44,15.97,722343,1166919050.78,2.95,1.01,0.16,1.45
2025-03-06,000338,16.36,16.39,16.64,16.19,961816,1573252216.77,2.8,1.93,0.31,1.93
2025-03-07,000338,16.35,16.59,16.77,16.22,863093,1431064601.27,3.36,1.22,0.2,1.73
2025-03-10,000338,16.59,16.36,16.71,16.23,758056,1246397544.38,2.89,-1.39,-0.23,1.52
2025-03-11,000338,16.11,16.49,16.63,16.11,774368,1270993844.88,3.18,0.79,0.13,1.56
2025-03-12,000338,16.57,16.36,16.62,16.32,484778,795120196.77,1.82,-0.79,-0.13,0.97
2025-03-13,000338,16.33,15.93,16.39,15.81,1027126,1644050306.19,3.55,-2.63,-0.43,2.06
2025-03-14,000338,15.93,16.01,16.09,15.82,722007,1154996660.85,1.69,0.5,0.08,1.45
2025-03-17,000338,16.11,16.37,16.42,15.96,740719,1202696501.72,2.87,2.25,0.36,1.49
2025-03-18,000338,16.37,16.39,16.43,16.2,499833,815422224.3,1.41,0.12,0.02,1.0
2025-03-19,000338,17.5,16.79,17.71,16.48,1679752,2836644032.7,7.5,2.44,0.4,3.38
2025-03-20,000338,16.63,16.6,16.75,16.46,630559,1047663379.02,1.73,-1.13,-0.19,1.27
2025-03-21,000338,16.66,16.26,16.67,16.16,583767,954804250.88,3.07,-2.05,-0.34,1.17
2025-03-24,000338,16.26,16.25,16.48,16.12,508640,827574294.37,2.21,-0.06,-0.01,1.02
2025-03-25,000338,16.26,15.95,16.28,15.92,527354,844999960.94,2.22,-1.85,-0.3,1.06
2025-03-26,000338,15.93,15.8,15.98,15.78,468219,742181040.92,1.25,-0.94,-0.15,0.94
2025-03-27,000338,15.8,15.76,15.85,15.7,335593,529770027.95,0.95,-0.25,-0.04,0.67
2025-03-28,000338,15.96,16.3,16.38,15.96,917795,1486492125.7,2.66,3.43,0.54,1.84
2025-03-31,000338,16.28,16.41,16.59,16.16,739937,1213848182.97,2.64,0.67,0.11,1.49
2025-04-01,000338,16.33,15.96,16.4,15.95,620736,997300892.31,2.74,-2.74,-0.45,1.25
2025-04-02,000338,15.97,15.98,16.09,15.81,391398,625576491.12,1.75,0.13,0.02,0.79
2025-04-03,000338,15.8,15.64,15.95,15.57,432902,680772000.89,2.38,-2.13,-0.34,0.87
2025-04-07,000338,14.64,14.45,14.75,14.08,1311923,1887529739.06,4.28,-7.61,-1.19,2.64
2025-04-08,000338,14.4,14.7,14.73,14.33,878760,1278301312.29,2.77,1.73,0.25,1.77
2025-04-09,000338,14.56,14.89,14.98,14.3,738164,1083905439.48,4.63,1.29,0.19,1.48
2025-04-10,000338,15.2,15.28,15.53,15.08,654645,1003442027.27,3.02,2.62,0.39,1.32
2025-04-11,000338,15.21,15.6,15.66,15.15,542087,839036634.59,3.34,2.09,0.32,1.09
2025-04-14,000338,15.73,15.42,15.76,15.33,557491,860440112.24,2.76,-1.15,-0.18,1.12
2025-04-15,000338,15.43,15.39,15.44,15.2,388460,595149147.84,1.56,-0.19,-0.03,0.78
2025-04-16,000338,15.3,15.35,15.38,15.13,457403,696558821.16,1.62,-0.26,-0.04,0.92
2025-04-17,000338,15.29,15.14,15.29,15.09,311788,472838435.75,1.3,-1.37,-0.21,0.63
2025-04-18,000338,15.12,15.3,15.35,15.02,236760,360276044.05,2.18,1.06,0.16,0.48
2025-04-21,000338,15.25,15.38,15.46,15.23,252844,387762692.8,1.5,0.52,0.08,0.51
2025-04-22,000338,15.34,15.23,15.55,15.23,279705,429014762.04,2.08,-0.98,-0.15,0.56
2025-04-23,000338,15.32,15.29,15.48,15.21,307289,471542953.5,1.77,0.39,0.06,0.62
2025-04-24,000338,15.35,15.32,15.42,15.21,218141,333842088.54,1.37,0.2,0.03,0.44
2025-04-25,000338,15.32,15.19,15.36,15.18,260291,396853770.49,1.17,-0.85,-0.13,0.52
2025-04-28,000338,15.16,15.15,15.31,15.12,278300,423348241.79,1.25,-0.26,-0.04,0.56
2025-04-29,000338,15.21,15.31,15.37,15.14,275997,422297338.46,1.52,1.06,0.16,0.55
2025-04-30,000338,15.34,15.2,15.41,14.87,500124,755575199.2,3.53,-0.72,-0.11,1.0
2025-05-06,000338,15.3,15.51,15.51,15.25,466266,719118589.95,1.71,2.04,0.31,0.94
2025-05-07,000338,15.6,14.99,15.65,14.99,789551,1201210866.74,4.26,-3.35,-0.52,1.58
2025-05-08,000338,15.0,15.0,15.08,14.93,371762,557678767.57,1.0,0.07,0.01,0.75
2025-05-09,000338,14.99,15.0,15.12,14.93,376170,564051763.67,1.27,0.0,0.0,0.76
2025-05-12,000338,15.05,15.29,15.58,15.05,852704,1307852253.8,3.53,1.93,0.29,1.71
2025-05-13,000338,15.46,15.26,15.48,15.23,467489,717172598.05,1.64,-0.2,-0.03,0.94
2025-05-14,000338,15.27,15.29,15.33,15.16,286565,436728633.68,1.11,0.2,0.03,0.58
2025-05-15,000338,15.26,14.93,15.28,14.92,440375,662250047.11,2.35,-2.35,-0.36,0.88
2025-05-16,000338,14.93,14.88,15.06,14.86,378739,565812713.06,1.34,-0.33,-0.05,0.76
2025-05-19,000338,14.89,14.89,14.95,14.76,318999,474071425.89,1.28,0.07,0.01,0.64
2025-05-20,000338,14.93,14.91,14.97,14.81,297899,443888861.06,1.07,0.13,0.02,0.6
2025-05-21,000338,14.93,15.27,15.37,14.92,664484,1010883430.02,3.02,2.41,0.36,1.33
2025-05-22,000338,15.21,15.27,15.35,15.2,349762,534383976.76,0.98,0.0,0.0,0.7
2025-05-23,000338,15.28,15.21,15.4,15.2,451250,690764725.28,1.31,-0.39,-0.06,0.91
2025-05-26,000338,15.2,14.99,15.26,14.88,502329,752255664.7,2.5,-1.45,-0.22,1.01
2025-05-27,000338,14.99,14.74,15.05,14.67,461814,685100152.22,2.54,-1.67,-0.25,0.93
2025-05-28,000338,14.8,15.01,15.14,14.78,475676,713291559.4,2.44,1.83,0.27,0.95
2025-05-29,000338,14.99,15.2,15.23,14.93,444872,672936436.54,2.0,1.27,0.19,0.89
2025-05-30,000338,15.2,15.04,15.29,15.0,334494,504834327.94,1.91,-1.05,-0.16,0.67
2025-06-03,000338,15.08,15.11,15.14,14.91,411151,617687174.44,1.53,0.47,0.07,0.83
2025-06-04,000338,15.14,15.11,15.24,14.93,449674,678024922.93,2.05,0.0,0.0,0.9
2025-06-05,000338,15.11,15.0,15.11,14.81,548700,819126873.02,1.99,-0.73,-0.11,1.1
2025-06-06,000338,14.98,15.21,15.28,14.96,523972,794089674.34,2.13,1.4,0.21,1.05
2025-06-09,000338,15.25,15.4,15.54,15.21,434228,670165563.25,2.17,1.25,0.19,0.87
2025-06-10,000338,15.4,15.25,15.47,15.18,349729,535230863.8,1.88,-0.97,-0.15,0.7
2025-06-11,000338,15.26,15.3,15.42,15.26,289538,444421870.1,1.05,0.33,0.05,0.58
2025-06-12,000338,15.28,15.53,15.59,15.2,491703,761313605.51,2.55,1.5,0.23,0.99
2025-06-13,000338,15.52,15.48,15.53,15.38,369121,570293349.78,0.97,-0.32,-0.05,0.74
2025-06-16,000338,15.4,15.33,15.45,15.21,420940,643661156.78,1.55,-0.97,-0.15,0.84
2025-06-17,000338,15.39,15.4,15.64,15.33,453717,702261647.35,2.02,0.46,0.07,0.91
2025-06-18,000338,15.45,15.5,15.52,15.26,325570,502990486.03,1.69,0.65,0.1,0.65
2025-06-19,000338,15.45,15.24,15.47,15.2,381783,583648692.16,1.74,-1.68,-0.26,0.77
2025-06-20,000338,15.19,15.27,15.32,15.19,308210,470134244.82,0.85,0.2,0.03,0.62
2025-06-23,000338,15.18,15.29,15.34,15.04,371402,564052835.19,1.96,0.13,0.02,0.75
2025-06-24,000338,15.33,15.6,15.64,15.32,496569,770818278.92,2.09,2.03,0.31,1.0
2025-06-25,000338,15.65,15.78,15.84,15.58,422855,666233804.96,1.67,1.15,0.18,0.85
2025-06-26,000338,15.78,15.58,15.88,15.56,415172,649853060.5,2.03,-1.27,-0.2,0.83
