date,open,high,low,close,volume
2024-12-02,3.997,4.043,3.987,4.031,981634781
2024-12-03,4.03,4.052,4.005,4.035,1524423707
2024-12-04,4.03,4.041,4.003,4.014,1006947918
2024-12-05,4.006,4.022,3.994,4.007,759522918
2024-12-06,4.007,4.085,4.006,4.057,1776229382
2024-12-09,4.054,4.08,4.03,4.054,1246418685
2024-12-10,4.179,4.198,4.073,4.085,2482795311
2024-12-11,4.078,4.094,4.065,4.075,1258715973
2024-12-12,4.077,4.122,4.066,4.117,1360180433
2024-12-13,4.092,4.092,4.012,4.02,2346569729
2024-12-16,4.018,4.021,3.986,3.996,989323074
2024-12-17,3.993,4.043,3.991,4.007,1364669228
2024-12-18,4.02,4.039,4.015,4.024,1023609617
2024-12-19,4.0,4.038,3.981,4.03,990362211
2024-12-20,4.024,4.045,4.012,4.018,1223061986
2024-12-23,4.017,4.053,4.015,4.022,1424702200
2024-12-24,4.024,4.076,4.022,4.069,1456343427
2024-12-25,4.072,4.094,4.054,4.072,1418137500
2024-12-26,4.072,4.079,4.056,4.073,947023402
2024-12-27,4.076,4.099,4.061,4.067,1086963910
2024-12-30,4.066,4.093,4.065,4.086,1311933462
2024-12-31,4.087,4.094,4.02,4.022,1843618788
2025-01-02,4.02,4.021,3.881,3.909,2172980338
2025-01-03,3.909,3.921,3.853,3.869,1593022599
2025-01-06,3.865,3.873,3.828,3.853,1298673930
2025-01-07,3.845,3.882,3.836,3.88,968974000
2025-01-08,3.87,3.899,3.815,3.874,1409796811
2025-01-09,3.863,3.88,3.857,3.866,806065805
2025-01-10,3.865,3.875,3.822,3.823,826572500
2025-01-13,3.801,3.826,3.793,3.808,949394700
2025-01-14,3.815,3.918,3.809,3.906,1644546233
2025-01-15,3.896,3.904,3.877,3.883,742049621
2025-01-16,3.896,3.933,3.861,3.885,1109005172
2025-01-17,3.875,3.922,3.868,3.898,847699295
2025-01-20,3.921,3.949,3.908,3.917,920294300
2025-01-21,3.937,3.941,3.905,3.922,743926440
2025-01-22,3.916,3.916,3.868,3.886,1099680655
2025-01-23,3.915,3.958,3.894,3.897,1038592839
2025-01-24,3.889,3.943,3.883,3.929,1143647489
2025-01-27,3.936,3.945,3.904,3.907,1305384964
2025-02-05,3.93,3.934,3.879,3.887,751549710
2025-02-06,3.884,3.937,3.881,3.932,1388636482
2025-02-07,3.933,4.014,3.926,3.988,1930631373
2025-02-10,3.989,4.0,3.974,3.992,1267264550
2025-02-11,3.997,3.998,3.963,3.976,999035889
2025-02-12,3.974,4.019,3.96,4.014,978953664
2025-02-13,4.009,4.034,3.998,4.004,1175822696
2025-02-14,4.0,4.04,3.997,4.034,1292428680
2025-02-17,4.044,4.053,4.012,4.041,1334102006
2025-02-18,4.035,4.058,3.996,4.012,1246591063
2025-02-19,4.005,4.041,4.0,4.033,1019076858
2025-02-20,4.029,4.033,4.008,4.021,1018603498
2025-02-21,4.032,4.08,4.02,4.075,1437266514
2025-02-24,4.07,4.089,4.041,4.062,1538578218
2025-02-25,4.035,4.051,4.008,4.021,892489991
2025-02-26,4.028,4.055,4.019,4.054,1345658133
2025-02-27,4.056,4.069,4.028,4.067,1128585642
2025-02-28,4.049,4.065,3.982,3.994,1329334000
2025-03-03,3.995,4.027,3.966,3.981,1145768613
2025-03-04,3.96,3.984,3.952,3.977,1012184770
2025-03-05,3.98,3.999,3.968,3.994,1191901642
2025-03-06,4.015,4.062,4.011,4.049,1371007879
2025-03-07,4.04,4.061,4.03,4.039,1155997084
2025-03-10,4.037,4.042,3.999,4.023,1442783688
2025-03-11,3.994,4.036,3.99,4.035,1002917003
2025-03-12,4.038,4.05,4.018,4.025,609231681
2025-03-13,4.024,4.033,3.993,4.005,641043804
2025-03-14,4.012,4.113,4.01,4.106,1903718328
