date,open,high,low,close,volume
2024-12-02,56.57,57.28,56.01,56.4,3230412
2024-12-03,56.35,58.69,56.11,56.92,3458142
2024-12-04,57.2,58.0,56.4,57.01,2746946
2024-12-05,56.75,57.19,56.03,57.09,2223123
2024-12-06,57.08,58.28,56.6,57.71,2709108
2024-12-09,57.5,57.9,55.56,55.62,2844575
2024-12-10,57.78,57.78,55.55,55.55,2623647
2024-12-11,55.54,56.44,55.01,55.3,2181732
2024-12-12,55.57,55.57,54.28,54.97,2144421
2024-12-13,54.99,56.8,54.55,56.09,4288576
2024-12-16,55.95,55.96,53.53,53.66,2638900
2024-12-17,53.66,54.68,53.03,53.13,1548712
2024-12-18,53.69,54.58,52.83,54.1,1401561
2024-12-19,53.2,54.25,53.2,53.7,1606387
2024-12-20,53.7,56.66,53.2,56.18,4056966
2024-12-23,55.9,56.44,54.01,54.18,2517756
2024-12-24,54.26,55.2,53.9,54.9,1319436
2024-12-25,54.85,54.85,53.4,53.6,1444612
2024-12-26,53.6,56.0,53.41,55.15,2080616
2024-12-27,55.15,55.88,54.28,54.65,1767380
2024-12-30,54.01,55.84,53.55,54.5,1741626
2024-12-31,54.51,55.0,52.25,52.39,2395585
2025-01-02,52.0,52.36,49.64,50.1,2356442
2025-01-03,50.6,50.82,48.5,48.74,1952920
2025-01-06,48.74,49.3,47.64,48.24,1717535
2025-01-07,47.5,49.16,47.5,48.82,1667476
2025-01-08,48.77,48.98,46.2,47.86,2091380
2025-01-09,47.72,48.5,47.6,47.85,1352576
2025-01-10,47.72,49.38,47.3,47.85,1904556
2025-01-13,47.55,48.28,47.0,47.96,1209260
2025-01-14,47.96,49.88,47.59,49.66,1707715
2025-01-15,49.65,49.73,48.77,49.0,1387603
2025-01-16,49.11,50.15,48.38,48.86,1520671
2025-01-17,48.75,50.64,48.4,50.03,1770692
2025-01-20,49.97,50.49,48.6,49.56,1734580
2025-01-21,49.65,50.01,48.84,49.64,1128528
2025-01-22,49.55,49.85,48.76,49.47,1366463
2025-01-23,49.87,50.8,49.15,49.17,1713582
2025-01-24,49.0,51.56,48.93,50.7,2394413
