date,open,high,low,close,volume,amount
2022-12-30,1.99,2.15,1.99,2.1,4138000.0,8677400.0
2023-01-03,2.08,2.35,2.01,2.28,4514000.0,10176180.0
2023-01-04,2.3,3.08,2.28,2.94,13452000.0,36667180.0
2023-01-05,3.08,3.88,3.06,3.3,26842000.0,93555940.0
2023-01-06,3.1,3.2,2.81,2.82,24986000.0,74825700.0
2023-01-09,2.9,2.97,2.51,2.64,11874000.0,32231760.0
2023-01-10,2.58,2.62,2.46,2.49,9706000.0,24412740.0
2023-01-11,2.56,2.8,2.46,2.54,15202000.0,40025800.0
2023-01-12,2.55,2.63,2.29,2.3,11718000.0,27934780.0
2023-01-13,2.3,2.44,2.29,2.4,8136000.0,19332750.0
2023-01-16,2.45,2.5,2.33,2.36,6092000.0,14561620.0
2023-01-17,2.36,2.43,2.28,2.34,5318000.0,12461940.0
2023-01-18,2.39,2.73,2.38,2.62,19666000.0,50642500.0
2023-01-19,2.47,2.52,2.4,2.43,10324000.0,25432460.0
2023-01-20,2.43,2.55,2.42,2.52,3818000.0,9513420.0
2023-01-26,2.54,2.67,2.52,2.62,5786000.0,15024260.0
2023-01-27,2.63,2.78,2.58,2.73,8646000.0,23466780.0
2023-01-30,2.8,2.9,2.63,2.65,12400000.0,34630300.0
2023-01-31,2.6,2.68,2.51,2.58,5726000.0,14668260.0
2023-02-01,2.58,2.68,2.52,2.62,6538000.0,16823420.0
2023-02-02,2.7,2.82,2.6,2.63,9222000.0,24923670.0
2023-02-03,2.66,2.77,2.63,2.74,9154000.0,24687540.0
2023-02-06,2.66,2.66,2.5,2.51,6060000.0,15653020.0
2023-02-07,2.5,2.55,2.44,2.52,3970000.0,9912140.0
2023-02-08,2.5,2.5,2.44,2.45,3508000.0,8649250.0
2023-02-09,2.45,2.66,2.45,2.6,4020000.0,10408700.0
2023-02-10,2.58,2.6,2.47,2.52,2110000.0,5298820.0
2023-02-13,2.46,2.53,2.43,2.48,1576000.0,3916340.0
2023-02-14,2.48,2.58,2.48,2.57,2294000.0,5794360.0
2023-02-15,2.5,2.51,2.32,2.37,5474000.0,13205360.0
2023-02-16,2.34,2.43,2.3,2.31,6076000.0,14312600.0
2023-02-17,2.4,2.46,2.3,2.32,11320000.0,26664760.0
2023-02-20,2.3,2.37,2.3,2.33,1400000.0,3281560.0
2023-02-21,2.36,2.41,2.33,2.36,3066000.0,7297862.0
2023-02-22,2.32,2.34,2.24,2.24,3940000.0,8981528.0
2023-02-23,2.24,2.3,2.14,2.3,2140000.0,4747970.0
2023-02-24,2.25,2.26,2.17,2.17,2470000.0,5450020.0
2023-02-27,2.11,2.17,2.05,2.08,5984000.0,12555380.0
2023-02-28,2.07,2.12,2.01,2.06,4228000.0,8677040.0
2023-03-01,2.06,2.2,2.05,2.12,4258000.0,9032620.0
2023-03-02,2.12,2.12,2.05,2.07,1412000.0,2937900.0
2023-03-03,2.17,2.29,2.15,2.24,5276000.0,11718340.0
2023-03-06,2.32,2.43,2.29,2.39,5794000.0,13749460.0
2023-03-07,2.41,2.48,2.33,2.35,6074000.0,14640020.0
2023-03-08,2.32,2.32,2.25,2.26,5474000.0,12493300.0
2023-03-09,2.32,2.42,2.29,2.35,4964000.0,11670180.0
2023-03-10,2.16,2.16,2.02,2.02,10504000.0,21780130.0
2023-03-13,2.09,2.26,2.05,2.13,14560000.0,31258840.0
2023-03-14,2.13,2.28,2.08,2.23,18098000.0,39836650.0
2023-03-15,2.2,2.83,2.2,2.7,75048000.0,194343330.0
2023-03-16,2.7,2.87,2.49,2.52,48166000.0,125942540.0
2023-03-17,2.75,2.98,2.7,2.7,113222650.0,318827605.0
2023-03-20,2.7,2.73,2.54,2.58,37794000.0,99528980.0
2023-03-21,2.64,2.79,2.58,2.67,32096000.0,86424500.0
2023-03-22,2.73,2.94,2.68,2.78,63692000.0,179376948.0
2023-03-23,2.77,3.13,2.74,3.01,91056000.0,271833380.0
2023-03-24,3.14,3.64,3.14,3.48,113320400.0,385902462.0
2023-03-27,3.45,3.57,3.29,3.4,64606600.0,220709214.0
2023-03-28,3.43,3.49,3.16,3.19,58040000.0,190283720.0
2023-03-29,3.24,3.46,3.07,3.34,70456545.0,233664013.0
2023-03-30,3.81,4.45,3.71,3.78,153670000.0,614519980.0
2023-03-31,4.0,4.41,3.95,4.3,86099700.0,358293790.0
2023-04-03,4.68,5.65,4.68,5.62,109607960.0,558129597.0
2023-04-04,5.2,5.45,4.72,4.75,105120600.0,530266628.0
2023-04-06,4.45,4.59,4.11,4.23,84660000.0,367382380.0
2023-04-11,4.04,4.45,3.8,4.37,103150000.0,434355954.0
2023-04-12,4.5,4.78,4.28,4.29,68648000.0,314306790.0
2023-04-13,4.3,4.46,4.14,4.18,37322000.0,158770940.0
2023-04-14,4.12,4.18,3.98,4.09,28480000.0,115707080.0
2023-04-17,4.1,4.17,3.89,4.15,34874000.0,140546800.0
2023-04-18,4.04,4.15,3.84,3.88,37544000.0,147956260.0
2023-04-19,3.8,3.85,3.64,3.64,34798000.0,129600480.0
2023-04-20,3.63,4.27,3.58,4.1,91088000.0,369186160.0
2023-04-21,4.0,4.04,3.59,3.59,51120470.0,193277100.0
2023-04-24,3.59,3.73,3.48,3.53,29560000.0,106305140.0
2023-04-25,3.41,3.45,3.2,3.2,45255000.0,149586820.0
2023-04-26,3.23,3.4,3.15,3.24,36024000.0,118177440.0
2023-04-27,3.09,3.13,2.95,2.96,46172000.0,140004044.0
2023-04-28,3.0,3.25,2.98,3.0,64764000.0,199246460.0
2023-05-02,3.01,3.09,2.89,2.9,6060000.0,17910760.0
2023-05-03,2.78,2.85,2.66,2.79,15733500.0,43581045.0
2023-05-04,2.82,2.89,2.69,2.7,40153500.0,111085890.0
2023-05-05,2.75,2.82,2.71,2.74,35978000.0,99124940.0
2023-05-08,2.78,2.97,2.77,2.81,41640000.0,118963160.0
2023-05-09,2.9,2.97,2.8,2.86,39644000.0,114687942.0
2023-05-10,2.87,2.87,2.69,2.77,33752000.0,92500240.0
2023-05-11,2.73,2.73,2.61,2.64,24840000.0,65876380.0
2023-05-12,2.68,2.74,2.62,2.66,20194000.0,53950560.0
2023-05-15,2.62,2.69,2.52,2.66,25262000.0,65786180.0
2023-05-16,2.8,2.87,2.71,2.72,47736000.0,132821040.0
2023-05-17,2.61,2.63,2.52,2.53,28022000.0,71982220.0
2023-05-18,2.52,2.64,2.43,2.54,35316000.0,88913640.0
2023-05-19,2.5,2.52,2.43,2.44,15268000.0,37742360.0
2023-05-22,2.39,2.45,2.3,2.43,26356000.0,62584180.0
2023-05-23,2.57,2.57,2.42,2.46,33969005.0,84564062.0
2023-05-24,2.25,2.29,2.16,2.19,40544000.0,90630560.0
2023-05-25,2.12,2.15,2.06,2.1,34299000.0,72001090.0
2023-05-29,2.07,2.09,1.99,2.0,33103000.0,67042290.0
