date,open,high,low,close,volume
2026-04-17 09:45:00,34.0,34.25,33.85,34.2,1610340
2026-04-17 10:00:00,34.2,34.36,34.08,34.11,792740
2026-04-17 10:15:00,34.13,34.26,34.06,34.17,480400
2026-04-17 10:30:00,34.16,34.34,34.16,34.26,494420
2026-04-17 10:45:00,34.26,34.37,34.26,34.29,501200
2026-04-17 11:00:00,34.27,34.33,34.2,34.26,328600
2026-04-17 11:15:00,34.26,34.28,34.17,34.24,419949
2026-04-17 11:30:00,34.24,34.28,34.08,34.09,368600
2026-04-17 13:15:00,34.09,34.18,34.08,34.15,606024
2026-04-17 13:30:00,34.15,34.21,34.08,34.14,640353
2026-04-17 13:45:00,34.14,34.18,34.11,34.17,364982
2026-04-17 14:00:00,34.17,34.37,34.16,34.32,666203
2026-04-17 14:15:00,34.32,34.35,34.2,34.23,420300
2026-04-17 14:30:00,34.22,34.24,34.14,34.22,301480
2026-04-17 14:45:00,34.22,34.26,34.2,34.21,324500
2026-04-17 15:00:00,34.21,34.25,34.19,34.23,636400
2026-04-20 09:45:00,34.45,34.8,34.38,34.8,2438080
2026-04-20 10:00:00,34.8,35.2,34.79,35.11,2450469
2026-04-20 10:15:00,35.1,35.18,34.96,35.05,1421760
2026-04-20 10:30:00,35.06,35.16,34.96,35.12,767300
2026-04-20 10:45:00,35.13,35.18,35.06,35.12,629500
2026-04-20 11:00:00,35.11,35.28,35.02,35.28,893600
2026-04-20 11:15:00,35.27,35.33,35.09,35.18,1115300
2026-04-20 11:30:00,35.18,35.22,35.08,35.21,730360
2026-04-20 13:15:00,35.22,35.27,35.15,35.21,768000
2026-04-20 13:30:00,35.2,35.3,35.2,35.26,652100
2026-04-20 13:45:00,35.26,35.4,35.22,35.24,1506040
2026-04-20 14:00:00,35.24,35.3,35.16,35.23,514380
2026-04-20 14:15:00,35.22,35.3,35.18,35.28,555160
2026-04-20 14:30:00,35.28,35.3,35.24,35.27,502700
2026-04-20 14:45:00,35.28,35.3,35.25,35.29,670800
2026-04-20 15:00:00,35.29,35.35,35.28,35.31,1288704
2026-04-21 09:45:00,35.2,35.65,34.9,35.23,2861482
2026-04-21 10:00:00,35.21,35.24,34.97,35.06,1419980
2026-04-21 10:15:00,35.07,35.15,35.02,35.02,680800
2026-04-21 10:30:00,35.02,35.09,34.92,35.09,667800
2026-04-21 10:45:00,35.09,35.55,35.06,35.55,863400
2026-04-21 11:00:00,35.52,35.55,35.37,35.4,571900
2026-04-21 11:15:00,35.4,35.5,35.25,35.34,484163
2026-04-21 11:30:00,35.37,35.38,35.24,35.24,240500
2026-04-21 13:15:00,35.25,35.42,35.17,35.42,411900
2026-04-21 13:30:00,35.41,35.47,35.35,35.35,313100
2026-04-21 13:45:00,35.36,35.41,35.31,35.36,295820
2026-04-21 14:00:00,35.38,35.4,35.28,35.3,323900
2026-04-21 14:15:00,35.29,35.33,35.21,35.22,361000
2026-04-21 14:30:00,35.27,35.35,35.22,35.33,308300
2026-04-21 14:45:00,35.34,35.43,35.33,35.34,515600
2026-04-21 15:00:00,35.36,35.39,35.32,35.37,708100
2026-04-22 09:45:00,35.03,35.56,35.01,35.49,1583845
2026-04-22 10:00:00,35.49,35.74,35.44,35.64,1421000
2026-04-22 10:15:00,35.64,35.74,35.53,35.73,902300
2026-04-22 10:30:00,35.72,35.73,35.58,35.58,498800
2026-04-22 10:45:00,35.58,35.66,35.54,35.56,591300
2026-04-22 11:00:00,35.55,35.55,35.37,35.38,667900
2026-04-22 11:15:00,35.38,35.5,35.37,35.42,351300
2026-04-22 11:30:00,35.42,35.47,35.4,35.46,255900
2026-04-22 13:15:00,35.46,35.5,35.38,35.43,299552
2026-04-22 13:30:00,35.44,35.47,35.3,35.35,708220
2026-04-22 13:45:00,35.34,35.45,35.32,35.33,559800
2026-04-22 14:00:00,35.33,35.34,35.29,35.32,539100
2026-04-22 14:15:00,35.32,35.47,35.3,35.31,547800
2026-04-22 14:30:00,35.31,35.39,35.3,35.34,364840
2026-04-22 14:45:00,35.34,35.42,35.33,35.42,426500
2026-04-22 15:00:00,35.42,35.58,35.41,35.55,1114202
2026-04-23 09:45:00,35.55,35.88,35.25,35.25,1731400
2026-04-23 10:00:00,35.25,35.31,34.96,35.3,1622520
2026-04-23 10:15:00,35.28,35.38,35.2,35.25,831000
2026-04-23 10:30:00,35.25,35.36,35.13,35.14,560880
2026-04-23 10:45:00,35.16,35.2,35.0,35.02,583060
2026-04-23 11:00:00,35.02,35.05,34.94,34.98,557878
2026-04-23 11:15:00,35.0,35.03,34.81,34.82,602722
2026-04-23 11:30:00,34.82,34.84,34.59,34.63,913600
2026-04-23 13:15:00,34.61,34.71,34.51,34.69,818309
2026-04-23 13:30:00,34.69,34.73,34.53,34.61,491589
2026-04-23 13:45:00,34.61,34.69,34.56,34.66,509200
2026-04-23 14:00:00,34.68,34.8,34.63,34.78,304500
2026-04-23 14:15:00,34.79,34.85,34.65,34.68,380800
2026-04-23 14:30:00,34.68,34.74,34.65,34.67,287800
2026-04-23 14:45:00,34.66,34.88,34.64,34.83,440700
2026-04-23 15:00:00,34.83,34.85,34.74,34.75,693300
2026-04-24 09:45:00,33.01,33.18,31.78,32.73,8199843
2026-04-24 10:00:00,32.73,32.78,32.38,32.47,2324320
2026-04-24 10:15:00,32.52,32.54,32.03,32.21,2079940
2026-04-24 10:30:00,32.21,32.35,32.01,32.11,1469878
2026-04-24 10:45:00,32.11,32.29,32.1,32.25,743160
2026-04-24 11:00:00,32.26,32.32,32.09,32.29,819418
2026-04-24 11:15:00,32.28,32.35,32.12,32.17,917800
2026-04-24 11:30:00,32.15,32.18,32.01,32.03,884444
2026-04-24 13:15:00,32.03,32.35,32.02,32.3,1235047
2026-04-24 13:30:00,32.3,32.45,32.23,32.35,629920
2026-04-24 13:45:00,32.33,32.41,32.1,32.33,799400
2026-04-24 14:00:00,32.33,32.33,32.15,32.18,386300
2026-04-24 14:15:00,32.19,32.85,32.16,32.83,1383053
2026-04-24 14:30:00,32.83,33.05,32.75,33.0,1643220
2026-04-24 14:45:00,32.98,33.01,32.91,33.0,1189180
2026-04-24 15:00:00,32.99,33.02,32.78,32.8,1305444
2026-04-27 09:45:00,32.6,32.9,31.91,31.98,2882478
2026-04-27 10:00:00,31.98,32.5,31.9,32.32,1693000
2026-04-27 10:15:00,32.33,32.58,32.31,32.55,812452
2026-04-27 10:30:00,32.54,32.75,32.54,32.7,635308
2026-04-27 10:45:00,32.7,32.72,32.47,32.49,577040
2026-04-27 11:00:00,32.49,32.9,32.41,32.69,715100
2026-04-27 11:15:00,32.68,32.69,32.56,32.69,354020
2026-04-27 11:30:00,32.68,32.72,32.6,32.61,182200
2026-04-27 13:15:00,32.62,32.85,32.61,32.65,512060
2026-04-27 13:30:00,32.65,32.84,32.63,32.81,404700
2026-04-27 13:45:00,32.81,32.86,32.64,32.68,392000
2026-04-27 14:00:00,32.67,32.71,32.61,32.62,232580
2026-04-27 14:15:00,32.61,32.7,32.6,32.66,344620
2026-04-27 14:30:00,32.7,32.72,32.61,32.63,398120
2026-04-27 14:45:00,32.65,32.68,32.61,32.63,407740
2026-04-27 15:00:00,32.67,32.73,32.62,32.68,596440
2026-04-28 09:45:00,32.66,32.74,32.3,32.48,1304240
2026-04-28 10:00:00,32.47,32.79,32.47,32.53,684100
2026-04-28 10:15:00,32.53,32.57,32.43,32.43,854900
2026-04-28 10:30:00,32.43,32.48,32.39,32.44,456100
2026-04-28 10:45:00,32.44,32.53,32.1,32.16,1431600
2026-04-28 11:00:00,32.17,32.27,32.08,32.21,787200
2026-04-28 11:15:00,32.26,32.26,32.1,32.12,424712
2026-04-28 11:30:00,32.13,32.2,32.09,32.16,376880
2026-04-28 13:15:00,32.16,32.17,32.04,32.04,767586
2026-04-28 13:30:00,32.04,32.09,31.92,32.09,1480900
2026-04-28 13:45:00,32.06,32.06,31.94,31.99,715334
2026-04-28 14:00:00,31.99,32.01,31.87,31.99,670400
2026-04-28 14:15:00,31.99,32.38,31.96,32.32,449500
2026-04-28 14:30:00,32.32,32.4,32.07,32.07,546860
2026-04-28 14:45:00,32.08,32.1,31.97,32.02,479480
2026-04-28 15:00:00,32.03,32.07,31.98,32.02,613060
2026-04-29 09:45:00,31.99,32.25,31.89,32.08,1209656
2026-04-29 10:00:00,32.07,32.1,31.89,31.9,1117104
2026-04-29 10:15:00,31.9,32.0,31.87,31.98,850380
2026-04-29 10:30:00,31.98,32.05,31.92,31.96,514040
2026-04-29 10:45:00,31.96,31.98,31.68,31.71,1431600
2026-04-29 11:00:00,31.7,31.74,31.6,31.64,1386480
2026-04-29 11:15:00,31.65,31.83,31.61,31.77,724940
2026-04-29 11:30:00,31.77,31.84,31.75,31.75,331972
2026-04-29 13:15:00,31.76,31.8,31.71,31.73,448360
2026-04-29 13:30:00,31.74,31.75,31.66,31.7,555620
2026-04-29 13:45:00,31.7,31.77,31.7,31.77,367184
2026-04-29 14:00:00,31.78,31.8,31.75,31.77,332300
2026-04-29 14:15:00,31.77,31.83,31.76,31.77,511800
2026-04-29 14:30:00,31.76,31.87,31.75,31.84,327012
2026-04-29 14:45:00,31.85,31.85,31.77,31.82,451980
2026-04-29 15:00:00,31.82,31.9,31.81,31.84,819860
2026-04-30 09:45:00,31.84,31.94,31.59,31.8,1662840
2026-04-30 10:00:00,31.83,31.84,31.65,31.65,1099860
2026-04-30 10:15:00,31.65,31.69,31.48,31.54,2483898
2026-04-30 10:30:00,31.54,31.94,31.52,31.94,1076320
2026-04-30 10:45:00,31.92,31.98,31.84,31.94,814900
2026-04-30 11:00:00,31.91,31.96,31.67,31.72,489300
2026-04-30 11:15:00,31.73,31.73,31.48,31.48,1603100
2026-04-30 11:30:00,31.49,31.63,31.46,31.56,739132
2026-04-30 13:15:00,31.57,31.64,31.49,31.61,545900
2026-04-30 13:30:00,31.57,31.85,31.54,31.63,487140
2026-04-30 13:45:00,31.61,31.76,31.6,31.74,396200
2026-04-30 14:00:00,31.75,31.75,31.68,31.68,322800
2026-04-30 14:15:00,31.68,31.73,31.65,31.67,289260
2026-04-30 14:30:00,31.66,31.79,31.65,31.71,723200
2026-04-30 14:45:00,31.72,31.77,31.7,31.7,566892
2026-04-30 15:00:00,31.7,31.72,31.67,31.69,615800
2026-05-06 09:45:00,31.74,32.75,31.73,32.53,3500842
2026-05-06 10:00:00,32.53,33.08,32.3,33.0,2501603
2026-05-06 10:15:00,32.99,33.33,32.91,33.0,2808600
2026-05-06 10:30:00,33.0,33.56,32.91,33.34,2685958
2026-05-06 10:45:00,33.31,33.4,33.15,33.18,772140
2026-05-06 11:00:00,33.18,33.26,33.02,33.02,482700
2026-05-06 11:15:00,33.03,33.07,32.97,33.0,505100
2026-05-06 11:30:00,33.0,33.01,32.93,32.93,511600
2026-05-06 13:15:00,32.93,33.0,32.7,32.84,706500
2026-05-06 13:30:00,32.85,32.95,32.71,32.89,730840
2026-05-06 13:45:00,32.89,32.93,32.75,32.75,399100
2026-05-06 14:00:00,32.78,32.8,32.69,32.7,478300
