时间,实际交易动作,60m交易,是否持仓,大盘状态,代码,名称,现价,日线风控,客观缠论信号,60m笔方向,15分信号,区间价格对齐,决策理由,日线A中枢ZD,日线C中枢ZD,锁定ZG,15m_DIF,15m_DEA,底分型成立
2026-05-10 10:10:33,观望,观望,否,安全,000001,平安银行,11.30,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,11.30,11.03,11.39,-0.0096,-0.0064,否
2026-05-10 10:10:33,观望,买入,否,安全,000002,万 科Ａ,4.00,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,4.01,3.84,4.02,0.0037,0.0033,否
2026-05-10 10:10:33,观望,观望,否,安全,000063,中兴通讯,38.68,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,37.92,38.73,38.94,0.0844,0.0752,否
2026-05-10 10:10:33,观望,买入,否,安全,000069,华侨城Ａ,2.26,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,2.24,2.18,2.24,0.0014,-0.0016,否
2026-05-10 10:10:33,观望,观望,否,安全,000100,TCL科技,4.22,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,4.20,4.18,4.41,-0.0212,-0.0240,否
2026-05-10 10:10:33,观望,卖出,否,安全,000157,中联重科,7.78,安全,一卖+二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,7.41,7.87,8.02,-0.0533,-0.0529,否
2026-05-10 10:10:33,观望,卖出,否,安全,000166,申万宏源,4.74,安全,二卖+二买,向上,底背驰,否,4条件未全部满足（买点但笔方向向上；15分底背驰非顶背驰；区间价格对齐否），继续观望,4.97,4.63,4.80,-0.0040,-0.0048,否
2026-05-10 10:10:33,观望,买入,否,安全,000301,东方盛虹,12.85,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,12.61,12.21,12.95,-0.0360,-0.0423,否
2026-05-10 10:10:33,观望,卖出,否,安全,000333,美的集团,80.40,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,79.17,78.91,80.89,-0.0051,0.0092,否
2026-05-10 10:10:33,观望,买入,否,安全,000338,潍柴动力,33.06,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,25.92,23.75,30.40,-0.2687,-0.2140,否
2026-05-10 10:10:33,观望,卖出,否,安全,000408,藏格矿业,87.70,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,87.43,82.48,89.58,-0.2560,-0.4488,否
2026-05-10 10:10:33,观望,卖出,否,安全,000425,徐工机械,9.97,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,10.05,9.78,10.14,-0.0550,-0.0468,否
2026-05-10 10:10:33,观望,观望,否,安全,000538,云南白药,52.62,日线破位,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,55.40,54.40,52.93,-0.0381,-0.0545,否
2026-05-10 10:10:33,观望,卖出,否,安全,000568,泸州老窖,97.53,日线破位,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,101.38,99.72,100.35,-0.3100,-0.2208,否
2026-05-10 10:10:33,观望,卖出,否,安全,000596,古井贡酒,106.36,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,101.84,104.68,108.95,-0.2491,-0.1734,否
2026-05-10 10:10:33,观望,买入,否,安全,000617,中油资本,9.35,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,8.73,8.87,9.44,-0.0138,-0.0152,否
2026-05-10 10:10:33,观望,观望,否,安全,000625,长安汽车,9.29,日线破位,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,11.04,10.01,10.14,-0.0309,-0.0317,否
2026-05-10 10:10:33,观望,买入,否,安全,000651,格力电器,39.91,日线破位,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,40.00,40.10,40.27,0.0024,0.0147,否
2026-05-10 10:10:33,观望,卖出,否,安全,000661,长春高新,86.59,安全,三卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,88.77,84.08,87.60,0.0971,0.1755,否
2026-05-10 10:10:33,观望,买入,否,安全,000708,中信特钢,15.59,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,15.58,15.44,15.68,0.0450,0.0241,否
2026-05-10 10:10:33,观望,买入,否,安全,000725,京东方Ａ,4.17,安全,二买,向下,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,4.06,4.08,4.18,-0.0047,-0.0081,否
2026-05-10 10:10:33,观望,买入,否,安全,000733,振华科技,44.70,安全,三卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,46.50,44.55,46.28,0.3430,0.2765,否
2026-05-10 10:10:33,观望,买入,否,安全,000768,中航西飞,24.45,安全,二卖+三卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,24.18,24.03,24.75,0.2546,0.2043,否
2026-05-10 10:10:33,观望,买入,否,安全,000776,广发证券,20.96,安全,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,20.88,20.75,21.20,-0.0285,-0.0318,否
2026-05-10 10:10:33,观望,观望,否,安全,000786,北新建材,26.16,安全,无信号,向上,无信号,-,4条件未全部满足（无买卖信号；15分无背驰；区间价格对齐-），继续观望,25.87,25.55,26.44,-0.0672,-0.0438,否
2026-05-10 10:10:33,观望,卖出,否,安全,000792,盐湖股份,38.05,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,34.02,37.00,38.05,-0.2322,-0.2210,否
2026-05-10 10:10:33,观望,观望,否,安全,000800,一汽解放,6.64,安全,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,6.63,6.46,6.66,0.0044,-0.0028,否
2026-05-10 10:10:33,观望,观望,否,安全,000858,五 粮 液,92.13,日线破位,二卖,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,101.59,101.08,98.40,-0.2318,-0.2415,否
2026-05-10 10:10:33,观望,观望,否,安全,000876,新 希 望,8.72,安全,二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,8.81,8.71,8.76,-0.0101,-0.0063,否
2026-05-10 10:10:33,观望,卖出,否,安全,000877,天山股份,4.73,安全,二卖+二买,向上,无信号,-,4条件未全部满足（买点但笔方向向上；15分无背驰；区间价格对齐-），继续观望,4.52,4.85,4.78,0.0157,0.0187,否
2026-05-10 10:10:33,观望,卖出,是,安全,000895,双汇发展,26.89,安全,二卖,向上,无信号,-,4条件未全部满足（15分无背驰；区间价格对齐-），继续观望,26.66,26.51,27.87,-0.1165,-0.1152,否
2026-05-10 10:10:33,观望,观望,否,安全,000938,紫光股份,33.17,安全,二卖,向下,顶背驰,否,4条件未全部满足（卖点但笔方向向下；区间价格对齐否），继续观望,28.68,29.91,32.59,0.2134,0.1887,否
2026-05-10 10:10:33,观望,买入,否,安全,000963,华东医药,33.26,日线破位,二卖+二买,向下,无信号,-,4条件未全部满足（卖点但笔方向向下；15分无背驰；区间价格对齐-），继续观望,34.75,33.96,33.47,-0.0130,-0.0129,否
