时间,实际交易动作,60m交易,是否持仓,大盘状态,代码,名称,现价,日线风控,客观缠论信号,60m笔方向,15分信号,区间价格对齐,决策理由,日线A中枢ZD,日线C中枢ZD,锁定ZG,15m_DIF,15m_DEA,底分型成立
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_270100,半导体,10637.59,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,7651.48,7181.62,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_270200,元件,23387.00,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,14510.25,18209.20,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_270600,电子化学品Ⅱ,12471.79,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,8473.33,8482.16,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_640700,自动化设备,25104.23,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,18343.13,19663.07,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_220900,非金属材料Ⅱ,7680.35,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,5821.30,6114.80,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_270400,其他电子Ⅱ,19764.45,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,16446.26,19031.36,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_270300,光学光电子,2084.20,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,1776.68,1904.62,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_640100,通用设备,9267.30,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,8034.02,8038.69,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_630100,电机Ⅱ,16521.64,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,15875.79,15415.65,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_330600,家电零部件Ⅱ,8882.87,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,8150.49,8393.20,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_220500,塑料,5689.83,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,4801.91,4647.00,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_330500,照明设备Ⅱ,5149.62,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,4309.05,4432.64,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_220600,橡胶,5524.82,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,5118.81,5347.83,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_330300,小家电,4802.63,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,4896.80,4566.08,,,,否
2026-05-23 19:11:59,观望,观望,否,警戒,sw2_730100,通信服务,2503.50,安全,无信号,向下,无信号,-,4条件未全部满足（客观缠论无买/卖关键字或「无信号」；15分无背驰；区间价格对齐-），继续观望,2393.51,2397.97,,,,否
