行业代码,行业名称,近20日涨幅,超额收益率,是否跑赢大盘,是否均线多头,是否综合满足
sw2_270100,半导体,32.9415,31.3244,1,1,1
sw2_270200,元件,29.4429,27.8259,1,1,1
sw2_270600,电子化学品Ⅱ,24.9487,23.3317,1,1,1
sw2_640700,自动化设备,23.9705,22.3535,1,1,1
sw2_610200,玻璃玻纤,23.6046,21.9876,1,0,0
sw2_220900,非金属材料Ⅱ,18.912,17.295,1,1,1
sw2_270500,消费电子,14.3109,12.6939,1,0,0
sw2_270400,其他电子Ⅱ,13.4294,11.8124,1,1,1
sw2_730200,通信设备,12.5217,10.9047,1,0,0
sw2_270300,光学光电子,11.8229,10.2059,1,1,1
sw2_640100,通用设备,11.5933,9.9763,1,1,1
sw2_630100,电机Ⅱ,9.9492,8.3322,1,1,1
sw2_330600,家电零部件Ⅱ,9.7179,8.1009,1,1,1
sw2_220500,塑料,9.4811,7.8641,1,1,1
sw2_240200,金属新材料,8.4517,6.8347,1,0,0
sw2_510100,综合Ⅱ,7.3539,5.7369,1,0,0
sw2_330500,照明设备Ⅱ,6.1777,4.5607,1,1,1
sw2_760200,环保设备Ⅱ,6.0319,4.4149,1,0,0
sw2_630500,光伏设备,5.9639,4.3469,1,0,0
sw2_280200,汽车零部件,5.6717,4.0546,1,0,0
sw2_640200,专用设备,5.2439,3.6269,1,0,0
sw2_630300,其他电源设备Ⅱ,5.2151,3.5981,1,0,0
sw2_220600,橡胶,4.4571,2.8401,1,1,1
sw2_710100,计算机设备,4.2326,2.6156,1,0,0
sw2_330300,小家电,3.0391,1.4221,1,1,1
sw2_730100,通信服务,2.422,0.805,1,1,1
sw2_620200,装修装饰Ⅱ,2.2678,0.6508,1,0,0
sw2_340700,饮料乳品,1.9548,0.3378,1,0,0
sw2_650400,航海装备Ⅱ,1.7659,0.1489,1,0,0
sw2_330100,白色家电,1.587,-0.03,0,0,0
sw2_350200,服装家纺,1.5825,-0.0345,0,0,0
sw2_280300,汽车服务,1.2923,-0.3247,0,0,0
sw2_410100,电力,1.1987,-0.4183,0,0,0
sw2_420900,铁路公路,1.1046,-0.5124,0,0,0
sw2_640600,工程机械,1.0749,-0.5422,0,0,0
sw2_630800,电网设备,0.9056,-0.7114,0,0,0
sw2_330200,黑色家电,0.745,-0.872,0,0,0
sw2_620600,工程咨询服务Ⅱ,0.5378,-1.0792,0,0,0
sw2_430100,房地产开发,0.18,-1.437,0,0,0
sw2_460800,专业服务,0.0462,-1.5708,0,0,0
sw2_450200,贸易Ⅱ,-0.1514,-1.7684,0,0,0
sw2_760100,环境治理,-0.5879,-2.2049,0,0,0
sw2_710300,IT服务Ⅱ,-0.6795,-2.2965,0,0,0
sw2_421100,航运港口,-0.8994,-2.5164,0,0,0
sw2_360300,家居用品,-1.0135,-2.6306,0,0,0
